id,match_id,match_period,team_id,event_id,event_name,sub_event_id,sub_event_name,player_id,event_sec,start_x,start_y,end_x,end_y,tag_id_1,tag_id_2,tag_id_3,tag_id_4,tag_id_5
177959171,2499719,1H,1609,8,Pass,85,Simple pass,25413,2.758649,49,49,31,78,1801,NA,NA,NA,NA
177959172,2499719,1H,1609,8,Pass,83,High pass,370224,4.94685,31,78,51,75,1801,NA,NA,NA,NA
177959173,2499719,1H,1609,8,Pass,82,Head pass,3319,6.542188,51,75,35,71,1801,NA,NA,NA,NA
177959174,2499719,1H,1609,8,Pass,82,Head pass,120339,8.143395,35,71,41,95,1801,NA,NA,NA,NA
177959175,2499719,1H,1609,8,Pass,85,Simple pass,167145,10.30237,41,95,72,88,1801,NA,NA,NA,NA
177959177,2499719,1H,1609,8,Pass,85,Simple pass,3319,12.54893,72,88,77,75,1802,NA,NA,NA,NA
177959186,2499719,1H,1631,8,Pass,82,Head pass,8653,13.96123,23,25,39,15,1801,NA,NA,NA,NA
177959189,2499719,1H,1631,1,Duel,10,Air duel,8013,14.765319999999999,39,15,33,20,701,1802,NA,NA,NA
177961218,2499719,1H,1609,1,Duel,10,Air duel,0,14.765319999999999,61,85,67,80,703,1801,NA,NA,NA
177959178,2499719,1H,1609,8,Pass,82,Head pass,167145,15.32034,67,80,59,61,1401,1801,NA,NA,NA
177959179,2499719,1H,1609,8,Pass,82,Head pass,49876,18.05187,59,61,45,45,1801,NA,NA,NA,NA
177959180,2499719,1H,1609,8,Pass,83,High pass,14869,20.42653,45,45,71,54,1801,NA,NA,NA,NA
177959191,2499719,1H,1631,1,Duel,10,Air duel,8653,21.87831,29,46,50,41,703,1801,NA,NA,NA
177959181,2499719,1H,1609,1,Duel,10,Air duel,25413,22.55182,71,54,50,59,701,1802,NA,NA,NA
177959182,2499719,1H,1609,8,Pass,83,High pass,3560,24.58831,50,59,76,69,1802,NA,NA,NA,NA
177959194,2499719,1H,1631,8,Pass,82,Head pass,8653,25.90425,24,31,42,15,1801,NA,NA,NA,NA
177959195,2499719,1H,1631,8,Pass,82,Head pass,8013,27.5277,42,15,29,26,1801,NA,NA,NA,NA
177959196,2499719,1H,1631,8,Pass,85,Simple pass,265366,29.9809,29,26,37,8,1801,NA,NA,NA,NA
177959197,2499719,1H,1631,8,Pass,85,Simple pass,8013,31.16387,37,8,23,5,1801,NA,NA,NA,NA
177959202,2499719,1H,1631,8,Pass,83,High pass,14853,32.80562,23,5,63,19,1802,NA,NA,NA,NA
177959184,2499719,1H,1609,8,Pass,82,Head pass,370224,35.68508,37,81,45,95,1802,NA,NA,NA,NA
177959204,2499719,1H,1631,8,Pass,82,Head pass,14763,36.66126,55,5,67,22,1801,NA,NA,NA,NA
177959205,2499719,1H,1631,1,Duel,13,Ground loose ball duel,12829,38.19187,67,22,71,15,703,1801,NA,NA,NA
177961219,2499719,1H,1609,1,Duel,13,Ground loose ball duel,0,38.19187,33,78,29,85,701,1802,NA,NA,NA
177959206,2499719,1H,1631,8,Pass,86,Smart pass,14763,39.94011,71,15,81,26,901,1802,NA,NA,NA
177959185,2499719,1H,1609,8,Pass,85,Simple pass,3560,43.04583,19,74,4,53,1801,NA,NA,NA,NA
177959187,2499719,1H,1609,8,Pass,84,Launch,7882,44.42568,4,53,40,44,1801,NA,NA,NA,NA
177959210,2499719,1H,1631,1,Duel,10,Air duel,192748,47.71751,60,56,56,49,703,1801,NA,NA,NA
177959188,2499719,1H,1609,1,Duel,10,Air duel,7945,48.26587,40,44,44,51,701,1802,NA,NA,NA
177959213,2499719,1H,1631,1,Duel,12,Ground defending duel,149019,49.18257,56,49,45,54,504,701,1802,NA,NA
177959190,2499719,1H,1609,1,Duel,11,Ground attacking duel,7945,50.33752,44,51,55,46,503,703,1801,NA,NA
177959192,2499719,1H,1609,1,Duel,11,Ground attacking duel,7945,51.66581,55,46,64,44,501,703,1801,NA,NA
177959215,2499719,1H,1631,1,Duel,12,Ground defending duel,192748,52.00954,45,54,36,56,502,701,1802,NA,NA
177959217,2499719,1H,1631,1,Duel,12,Ground defending duel,8488,52.66354,36,56,36,48,502,1601,701,1802,NA
177959193,2499719,1H,1609,1,Duel,11,Ground attacking duel,7945,53.2538,64,44,64,52,501,703,1801,NA,NA
177959219,2499719,1H,1631,2,Foul,20,Foul,8488,54.3662,36,48,36,56,NA,NA,NA,NA,NA
177959198,2499719,1H,1609,3,Free Kick,31,Free Kick,0,74.73714,65,44,65,31,1801,NA,NA,NA,NA
177959199,2499719,1H,1609,8,Pass,85,Simple pass,49876,76.6257,65,31,90,13,1801,NA,NA,NA,NA
177959200,2499719,1H,1609,1,Duel,11,Ground attacking duel,7868,83.67515,90,13,96,14,502,703,1801,NA,NA
177959222,2499719,1H,1631,1,Duel,12,Ground defending duel,149019,83.70608,10,87,4,86,501,701,1802,NA,NA
177959201,2499719,1H,1609,1,Duel,11,Ground attacking duel,7868,85.07404,96,14,90,3,501,703,1801,NA,NA
177961220,2499719,1H,1631,1,Duel,12,Ground defending duel,0,85.07404,4,86,10,97,502,701,1802,NA,NA
177959203,2499719,1H,1609,8,Pass,85,Simple pass,7868,86.77346,90,3,72,13,1801,NA,NA,NA,NA
177959207,2499719,1H,1609,8,Pass,83,High pass,49876,89.24939,72,13,86,86,1801,NA,NA,NA,NA
177959208,2499719,1H,1609,8,Pass,85,Simple pass,167145,93.11555,86,86,73,71,1801,NA,NA,NA,NA
177959211,2499719,1H,1609,8,Pass,80,Cross,120339,93.96123,73,71,88,41,301,402,801,1801,NA
